# This table allows three kinds of mappings:
# 1: From major class to comma separated lemmas (place -> place,location)
# 2: From subclass to comma separated lemmas (city -> place,location,burg,metropolis...)
# 3: From markable string to comma separated markable strings (United States -> USA,US,America...)
# Sources: PPDB, Amir Zeldes (see licenses)
µl	μl
vendor	seller
vendors	suppliers
vengeance	revenge
veranda	porch
verde	green
verification	audit
version	printable
vertebra	vertebrae
vertebrae	vertebra
verts	greens
vessel	boat
vessel	ship
vessels	boats
vessels	ships
veterinarian	veterinary
veterinary	veterinarian
vial	flask
vials	flasks
vibration	vibrational
vibrational	vibration
vic	civ
vice	deputy
vice-chair	vice-president
vice-chair-cum-rapporteur	vice-chairperson-cum-rapporteur
vice-chairman	vice-president
vice-chairman-cum-rapporteur	vice-chairperson-cum-rapporteur
vice-chairmen	vice-chairpersons
vice-chairmen	vice-presidents
vice-chairperson	vice-president
vice-chairperson-cum-rapporteur	vice-chair-cum-rapporteur
vice-chairperson-cum-rapporteur	vice-chairman-cum-rapporteur
vice-chairpersons	vice-chairmen
vice-chairpersons	vice-presidents
vice-chairs	vice-presidents
vice-president	vice-chair
vice-president	vice-chairman
vice-president	vice-chairperson
vice-presidents	vice-chairmen
vice-presidents	vice-chairpersons
vice-presidents	vice-chairs
victimisation	victimization
victimization	victimisation
videoconference	videoconferencing
videoconferencing	videoconference
viewer	viewfinder
viewfinder	viewer
views	opinions
violation	breach
violin	fiddle
virility	manhood
virtualisation	virtualization
virtualization	virtualisation
viscose	rayon
vocational	professional
voivodeships	voivodships
voivodships	voivodeships
vol	flight
volatilisation	volatilization
volatilization	volatilisation
voltage	tension
volunteering	volunteerism
volunteerism	volunteering
vortex	wormhole
vortices	eddies
vote	voting
voters	constituents
voters	electors
voting	vote
voyageur	traveller
voyeur	peeper
wage	salary
wages	salaries
walkie	walkie-talkie
walkie-talkie	walkie
walkthrough	tutorial
walkthroughs	tutorials
wallet	portfolio
wan	bay
wapiti	elk
washroom	toilet
waste	wastes
wastes	waste
wastewater	sewage
wave-plate	waved-plate
wave-plates	waved-plates
waved-plate	wave-plate
waved-plates	wave-plates
wealth	richness
weaners	weanlings
weanlings	weaners
weapon	gun
weaponization	militarization
weapons	arms
webcast	retransmission
website	website,webpage,page,site
wed	wednesday
wedding	marriage
wednesday	wed
welfare	well-being
well-being	welfare
wet	moist
wetter	wettest
wettest	wetter
wfp	pam
whänau	whanau
whānau	whanau
whanau	whänau
whanau	whānau
wharf	dock
whims	vagaries
whiskey	whisky
whisky	whiskey
who-	if-
whole-of-government	government-wide
whores	hookers
wife	woman
windscreen	windshield
windscreens	windshields
windshield	windscreen
windshields	windscreens
wire	cable
wires	cables
wiring	cabling
witch	sorceress
witchcraft	sorcery
woman	wife
womb	uterus
wong	huang
wood	timber
woodchucks	marmots
wool	lana
work	working
workbench	workspace
working	work
worksheet	spreadsheet
worksheets	spreadsheets
workspace	workbench
wormhole	vortex
wounded	injured
wristlets	wrists
wrists	wristlets
writable	recordable
writing	written
written	writing
xu	seo
yasin	yassin
yassin	yasin
yeah	yes
year-1	yr-1
yes	yeah
yoghurt	yogurt
yogurt	yoghurt
younis	yunis
yr-1	year-1
yunis	younis
yurts	gers
zambia	zambian
zambian	zambia
zarqawi	al-zarqawi
zeroes	zeros
zeros	zeroes
zhang	chang
zhang	cheung
zhu	chu
zone	area
zones	areas
zpm	mpa
